temperature,humidity,windpower,rains,waterlevels63000120,rains63000100,waterlevels63000100,waterlevels
17.0,56.0,2.0,0.0,236.28,0.0,207.49,83.52
16.0,59.0,2.0,0.0,236.29,0.0,207.5,83.52
15.0,62.0,2.0,0.0,236.28,0.0,207.53,83.52
15.0,64.0,2.0,0.0,236.28,0.0,207.54,83.51
14.0,67.0,2.0,0.0,236.27,0.0,207.57,83.49
14.0,65.0,3.0,0.0,236.28,0.0,207.58,83.49
13.0,69.0,3.0,0.0,236.32,0.0,207.61,83.49
12.0,71.0,2.0,0.0,236.27,0.0,207.62,83.49
10.0,84.0,1.0,0.0,236.26,0.0,207.65,83.49
12.0,71.0,2.0,0.0,236.23,0.0,207.66,83.49
11.0,72.0,2.0,0.0,236.23,0.0,207.69,83.49
11.0,77.0,2.0,0.0,236.27,0.0,207.69,83.49
11.0,83.0,1.0,0.0,236.26,0.0,207.7,83.49
10.0,85.0,1.0,0.0,236.26,0.0,207.73,83.48
9.0,90.0,1.0,0.0,236.26,0.0,207.74,83.48
9.0,91.0,1.0,0.0,236.26,0.0,207.77,83.48
9.0,91.0,1.0,0.0,236.24,0.0,207.78,83.49
11.0,85.0,1.0,0.0,236.18,0.0,207.78,83.49
13.0,76.0,1.0,0.0,236.23,0.0,207.81,83.49
15.0,66.0,2.0,0.0,236.25,0.0,207.81,83.49
18.0,54.0,2.0,0.0,236.25,0.0,207.81,83.48
19.0,53.0,2.0,0.0,236.24,0.0,207.82,83.48
19.0,54.0,2.0,0.0,236.24,0.0,207.82,83.47
19.0,57.0,2.0,0.0,236.23,0.0,207.85,83.47
20.0,54.0,2.0,0.0,236.24,0.0,207.85,83.46
19.0,57.0,3.0,0.0,236.24,0.0,207.86,83.45
19.0,59.0,2.0,0.0,236.23,0.0,207.89,83.45
17.0,66.0,2.0,0.0,236.21,0.0,207.89,83.45
16.0,71.0,3.0,0.0,236.21,0.0,207.89,83.44
15.0,75.0,2.0,0.0,236.23,0.0,207.9,83.44
14.0,80.0,2.0,0.0,236.24,0.0,207.9,83.44
12.0,89.0,1.0,0.0,236.25,0.0,207.93,83.44
12.0,74.0,2.0,0.0,236.22,0.0,207.93,83.44
11.0,95.0,2.0,0.0,236.2,0.0,207.94,83.44
11.0,97.0,2.0,0.0,236.2,0.0,207.94,83.44
11.0,97.0,2.0,0.0,236.2,0.0,207.94,83.44
10.0,98.0,2.0,0.0,236.2,0.0,207.94,83.43
10.0,99.0,2.0,0.0,236.21,0.0,207.97,83.43
10.0,99.0,2.0,0.0,236.2,0.0,207.97,83.42
10.0,99.0,3.0,0.0,236.2,0.0,207.97,83.42
10.0,99.0,2.0,0.0,236.21,0.0,207.97,83.45
12.0,95.0,1.0,0.0,236.2,0.0,207.98,83.49
15.0,83.0,2.0,0.0,236.22,0.0,207.98,83.5
20.0,66.0,2.0,0.0,236.23,0.0,207.98,83.5
23.0,57.0,1.0,0.0,236.22,0.0,208.01,83.48
25.0,53.0,3.0,0.0,236.23,0.0,208.02,83.47
27.0,48.0,4.0,0.0,236.21,0.0,208.02,83.48
28.0,45.0,3.0,0.0,236.21,0.0,208.02,83.48
28.0,44.0,3.0,0.0,236.21,0.0,208.05,83.48
27.0,48.0,3.0,0.0,236.2,0.0,208.05,83.48
27.0,48.0,3.0,0.0,236.21,0.0,208.05,83.48
15.0,100.0,4.0,0.0,236.58,0.5,208.9,83.64
15.0,99.0,3.0,0.0,236.59,0.0,209.02,83.66
13.0,100.0,3.0,1.0,236.55,0.0,209.26,83.67
13.0,100.0,3.0,0.0,236.55,0.0,209.37,83.67
13.0,100.0,3.0,1.5,236.55,1.0,209.49,83.67
